stop_id,stop_name,stop_code,stop_lat,stop_lon,location_type,stop_url
657,"CNO PAJAS BLANCAS y CNO PEDRO P SANGUINETTO",657,-34.866716,-56.319825,0,"https://m.montevideo.gub.uy/comoir/parada?numero=657"
658,"CNO PAJAS BLANCAS - CNO PEDRO P SANGUINETTO",658,-34.866933,-56.31924,0,"https://m.montevideo.gub.uy/comoir/parada?numero=658"
659,"CNO PAJAS BLANCAS y CNO TOMKINSON",659,-34.867921,-56.317494,0,"https://m.montevideo.gub.uy/comoir/parada?numero=659"
660,"LUIS DE MEDINA TORRES - CAP DOMINGO CHAURRI",660,-34.871574,-56.31719,0,"https://m.montevideo.gub.uy/comoir/parada?numero=660"
661,"LUIS DE MEDINA TORRES - CNO SANFUENTES",661,-34.875308,-56.317863,0,"https://m.montevideo.gub.uy/comoir/parada?numero=661"
662,"CNO SANFUENTES - CNO ANTARTIDA URUGUAYA",662,-34.875829,-56.317027,0,"https://m.montevideo.gub.uy/comoir/parada?numero=662"
663,"LUIS DE MEDINA TORRES - CAP DOMINGO CHAURRI",663,-34.873478,-56.316598,0,"https://m.montevideo.gub.uy/comoir/parada?numero=663"
664,"LUIS DE MEDINA TORRES - CAP DOMINGO CHAURRI",664,-34.873355,-56.316664,0,"https://m.montevideo.gub.uy/comoir/parada?numero=664"
665,"LUIS DE MEDINA TORRES - CAP DOMINGO CHAURRI",665,-34.871588,-56.317121,0,"https://m.montevideo.gub.uy/comoir/parada?numero=665"
666,"LUIS DE MEDINA TORRES - CNO PAJAS BLANCAS",666,-34.869369,-56.317114,0,"https://m.montevideo.gub.uy/comoir/parada?numero=666"
667,"LUIS DE MEDINA TORRES y CNO PAJAS BLANCAS",667,-34.868851,-56.317212,0,"https://m.montevideo.gub.uy/comoir/parada?numero=667"
668,"CNO TOMKINSON - CNO PAJAS BLANCAS",668,-34.867733,-56.317041,0,"https://m.montevideo.gub.uy/comoir/parada?numero=668"
669,"LUIS DE MEDINA TORRES - CNO TOMKINSON",669,-34.868111,-56.317133,0,"https://m.montevideo.gub.uy/comoir/parada?numero=669"
670,"CNO TOMKINSON - LUIS DE MEDINA TORRES",670,-34.864789,-56.314694,0,"https://m.montevideo.gub.uy/comoir/parada?numero=670"
671,"CNO TOMKINSON - LUIS DE MEDINA TORRES",671,-34.864426,-56.314571,0,"https://m.montevideo.gub.uy/comoir/parada?numero=671"
673,"CNO TOMKINSON - CNO SALABERRY",673,-34.861978,-56.307622,0,"https://m.montevideo.gub.uy/comoir/parada?numero=673"
675,"CNO TOMKINSON - CNO O´HIGGINS",675,-34.857805,-56.300693,0,"https://m.montevideo.gub.uy/comoir/parada?numero=675"
676,"CNO O´HIGGINS - CNO DE LA CAPILLA",676,-34.855761,-56.304944,0,"https://m.montevideo.gub.uy/comoir/parada?numero=676"
677,"CNO O´HIGGINS - CNO DE LA CAPILLA",677,-34.854838,-56.306724,0,"https://m.montevideo.gub.uy/comoir/parada?numero=677"
678,"CNO O´HIGGINS - SBRE DE PASO",678,-34.85292,-56.310485,0,"https://m.montevideo.gub.uy/comoir/parada?numero=678"
679,"CNO O´HIGGINS - CNO LEONCIO LOPEZ",679,-34.850517,-56.315216,0,"https://m.montevideo.gub.uy/comoir/parada?numero=679"
680,"CNO O´HIGGINS - CNO LEONCIO LOPEZ",680,-34.849593,-56.316996,0,"https://m.montevideo.gub.uy/comoir/parada?numero=680"
681,"CNO O´HIGGINS - CNO ZENDOTE",681,-34.847525,-56.321026,0,"https://m.montevideo.gub.uy/comoir/parada?numero=681"
682,"CNO O´HIGGINS - SBRE DE 10 MTS",682,-34.845872,-56.324312,0,"https://m.montevideo.gub.uy/comoir/parada?numero=682"
683,"CNO O´HIGGINS - CNO VECINAL",683,-34.843138,-56.329652,0,"https://m.montevideo.gub.uy/comoir/parada?numero=683"
684,"CNO O´HIGGINS - CNO GARCES",684,-34.841165,-56.333519,0,"https://m.montevideo.gub.uy/comoir/parada?numero=684"
685,"CNO O´HIGGINS - CNO ELHORDOY",685,-34.838208,-56.339251,0,"https://m.montevideo.gub.uy/comoir/parada?numero=685"
686,"CNO O´HIGGINS - CNO ELHORDOY",686,-34.836786,-56.341998,0,"https://m.montevideo.gub.uy/comoir/parada?numero=686"
687,"CNO O´HIGGINS - CNO DE LOS ALVAREZ",687,-34.833874,-56.347699,0,"https://m.montevideo.gub.uy/comoir/parada?numero=687"
688,"CNO O´HIGGINS - CNO CONDE",688,-34.832914,-56.349651,0,"https://m.montevideo.gub.uy/comoir/parada?numero=688"
689,"CNO O´HIGGINS y CNO SANGUINETTI",689,-34.829982,-56.355298,0,"https://m.montevideo.gub.uy/comoir/parada?numero=689"
690,"CNO O´HIGGINS - CNO CONDE",690,-34.832866,-56.349831,0,"https://m.montevideo.gub.uy/comoir/parada?numero=690"
691,"CNO O´HIGGINS - CNO DE LOS ALVAREZ",691,-34.833967,-56.347777,0,"https://m.montevideo.gub.uy/comoir/parada?numero=691"
692,"CNO O´HIGGINS - SBRE DE PASO",692,-34.83556,-56.344577,0,"https://m.montevideo.gub.uy/comoir/parada?numero=692"
693,"CNO O´HIGGINS - CNO ELHORDOY",693,-34.836782,-56.342239,0,"https://m.montevideo.gub.uy/comoir/parada?numero=693"
694,"CNO O´HIGGINS - CNO ELHORDOY",694,-34.838199,-56.339464,0,"https://m.montevideo.gub.uy/comoir/parada?numero=694"
695,"CNO O´HIGGINS - CNO GARCES",695,-34.841111,-56.333782,0,"https://m.montevideo.gub.uy/comoir/parada?numero=695"
696,"CNO O´HIGGINS - CNO VECINAL",696,-34.84321,-56.329703,0,"https://m.montevideo.gub.uy/comoir/parada?numero=696"
697,"CNO O´HIGGINS - SBRE DE 10 MTS",697,-34.845957,-56.324308,0,"https://m.montevideo.gub.uy/comoir/parada?numero=697"
698,"CNO O´HIGGINS - CNO ZENDOTE",698,-34.847601,-56.321099,0,"https://m.montevideo.gub.uy/comoir/parada?numero=698"
700,"CNO O´HIGGINS - CNO EL COLORADO",700,-34.84927,-56.317818,0,"https://m.montevideo.gub.uy/comoir/parada?numero=700"
701,"CNO O´HIGGINS - CNO LEONCIO LOPEZ",701,-34.850443,-56.315571,0,"https://m.montevideo.gub.uy/comoir/parada?numero=701"
702,"CNO O´HIGGINS - SDA DE PASO",702,-34.851629,-56.313086,0,"https://m.montevideo.gub.uy/comoir/parada?numero=702"
703,"CNO O´HIGGINS - SBRE DE PASO",703,-34.852911,-56.310709,0,"https://m.montevideo.gub.uy/comoir/parada?numero=703"
704,"CNO O´HIGGINS - CNO DE LA CAPILLA",704,-34.854789,-56.307062,0,"https://m.montevideo.gub.uy/comoir/parada?numero=704"
705,"CNO O´HIGGINS - CNO DE LA CAPILLA",705,-34.855801,-56.305065,0,"https://m.montevideo.gub.uy/comoir/parada?numero=705"
706,"CNO TOMKINSON - RUTA NAL 1",706,-34.856558,-56.298401,0,"https://m.montevideo.gub.uy/comoir/parada?numero=706"
707,"CNO TOMKINSON - SBRE",707,-34.856522,-56.298509,0,"https://m.montevideo.gub.uy/comoir/parada?numero=707"
708,"CNO TOMKINSON - SBRE",708,-34.854807,-56.29543,0,"https://m.montevideo.gub.uy/comoir/parada?numero=708"
709,"CNO TOMKINSON - SBRE",709,-34.853645,-56.293668,0,"https://m.montevideo.gub.uy/comoir/parada?numero=709"
710,"CNO TOMKINSON - CNO BAJO DE LA PETIZA",710,-34.852191,-56.291072,0,"https://m.montevideo.gub.uy/comoir/parada?numero=710"
711,"CNO TOMKINSON - CNO MANUEL FLORES",711,-34.850361,-56.288606,0,"https://m.montevideo.gub.uy/comoir/parada?numero=711"
712,"CNO TOMKINSON - RUTA NAL 1",712,-34.850192,-56.288651,0,"https://m.montevideo.gub.uy/comoir/parada?numero=712"
713,"CNO DE LA REDENCION - CNO MELILLA",713,-34.80546,-56.253948,0,"https://m.montevideo.gub.uy/comoir/parada?numero=713"
714,"CNO DE LA REDENCION - CNO MELILLA",714,-34.804085,-56.25681,0,"https://m.montevideo.gub.uy/comoir/parada?numero=714"
715,"CNO DE LA REDENCION - CNO MELILLA",715,-34.803916,-56.257297,0,"https://m.montevideo.gub.uy/comoir/parada?numero=715"
716,"CNO DE LA REDENCION - RUTA NAL 5",716,-34.802387,-56.260508,0,"https://m.montevideo.gub.uy/comoir/parada?numero=716"
717,"CNO DE LA REDENCION - RUTA NAL 5",717,-34.802444,-56.260599,0,"https://m.montevideo.gub.uy/comoir/parada?numero=717"
718,"CNO DE LA REDENCION - CNO FOLLE YLLA",718,-34.799833,-56.266122,0,"https://m.montevideo.gub.uy/comoir/parada?numero=718"
719,"CNO DE LA REDENCION - CNO HAMILTON",719,-34.796775,-56.272924,0,"https://m.montevideo.gub.uy/comoir/parada?numero=719"
720,"CNO DE LA REDENCION - CNO LOS NARANJOS",720,-34.7946,-56.277837,0,"https://m.montevideo.gub.uy/comoir/parada?numero=720"
721,"CNO DE LA REDENCION - CNO LOS NARANJOS",721,-34.794568,-56.278174,0,"https://m.montevideo.gub.uy/comoir/parada?numero=721"
722,"CNO DE LA REDENCION - CNO DE LOS ORIENTALES",722,-34.790097,-56.287838,0,"https://m.montevideo.gub.uy/comoir/parada?numero=722"
723,"CNO DE LA REDENCION - CNO DE LOS ORIENTALES",723,-34.789983,-56.288101,0,"https://m.montevideo.gub.uy/comoir/parada?numero=723"
724,"CNO DE LA REDENCION - CNO LOS CAMALOTES",724,-34.785885,-56.291587,0,"https://m.montevideo.gub.uy/comoir/parada?numero=724"
725,"CNO DE LA REDENCION - CNO LOS CAMALOTES",725,-34.78468,-56.29277,0,"https://m.montevideo.gub.uy/comoir/parada?numero=725"
726,"CNO DE LA REDENCION - CALLE 8 MTS",726,-34.778588,-56.295636,0,"https://m.montevideo.gub.uy/comoir/parada?numero=726"
727,"CNO DE LA REDENCION - CALLE 8 MTS",727,-34.778533,-56.295867,0,"https://m.montevideo.gub.uy/comoir/parada?numero=727"
730,"CNO DE LA REDENCION - CNO PEIXOTO",730,-34.774248,-56.297709,0,"https://m.montevideo.gub.uy/comoir/parada?numero=730"
731,"CNO DE LA REDENCION - CNO MAINUMBY",731,-34.771747,-56.29849,0,"https://m.montevideo.gub.uy/comoir/parada?numero=731"
732,"CNO DE LA REDENCION - CNO MAINUMBY",732,-34.771664,-56.298631,0,"https://m.montevideo.gub.uy/comoir/parada?numero=732"
733,"CNO DE LA REDENCION - CNO MAINUMBY",733,-34.769415,-56.298966,0,"https://m.montevideo.gub.uy/comoir/parada?numero=733"
734,"CNO DE LA REDENCION - CNO DE LAS CHIRCAS",734,-34.76934,-56.299081,0,"https://m.montevideo.gub.uy/comoir/parada?numero=734"
735,"CNO DE LA REDENCION - CNO DR FRANCISCO AZAROLA",735,-34.765712,-56.299633,0,"https://m.montevideo.gub.uy/comoir/parada?numero=735"
736,"CNO DE LA REDENCION - CNO DR FRANCISCO AZAROLA",736,-34.765239,-56.29979,0,"https://m.montevideo.gub.uy/comoir/parada?numero=736"
737,"CNO DE LA REDENCION - CNO LAS MULITAS",737,-34.761803,-56.300305,0,"https://m.montevideo.gub.uy/comoir/parada?numero=737"
738,"CNO DE LA REDENCION - CNO SERE",738,-34.755926,-56.305286,0,"https://m.montevideo.gub.uy/comoir/parada?numero=738"
739,"CNO DE LA REDENCION - CNO SERE",739,-34.75557,-56.305798,0,"https://m.montevideo.gub.uy/comoir/parada?numero=739"
740,"CNO DE LA REDENCION - CNO SERE",740,-34.752456,-56.308566,0,"https://m.montevideo.gub.uy/comoir/parada?numero=740"
741,"CNO DE LA REDENCION - CNO LOS PIRINCHOS",741,-34.748826,-56.311573,0,"https://m.montevideo.gub.uy/comoir/parada?numero=741"
742,"CNO DE LA REDENCION - CNO LOS PIRINCHOS",742,-34.748864,-56.311652,0,"https://m.montevideo.gub.uy/comoir/parada?numero=742"
743,"CNO DE LA REDENCION - CNO LOS PIRINCHOS",743,-34.745956,-56.314256,0,"https://m.montevideo.gub.uy/comoir/parada?numero=743"
744,"CNO DE LA REDENCION - CNO FELIX BUXAREO",744,-34.741006,-56.318382,0,"https://m.montevideo.gub.uy/comoir/parada?numero=744"
745,"CNO FELIX BUXAREO - CNO DE LA REDENCION",745,-34.740411,-56.318238,0,"https://m.montevideo.gub.uy/comoir/parada?numero=745"
746,"CNO FELIX BUXAREO - CNO LA TOTORA",746,-34.734836,-56.308404,0,"https://m.montevideo.gub.uy/comoir/parada?numero=746"
747,"CNO FELIX BUXAREO - CNO LA TOTORA",747,-34.734213,-56.307753,0,"https://m.montevideo.gub.uy/comoir/parada?numero=747"
748,"CNO FELIX BUXAREO - CNO LA TOTORA",748,-34.732245,-56.304049,0,"https://m.montevideo.gub.uy/comoir/parada?numero=748"
749,"CNO FELIX BUXAREO - CNO LA TOTORA",749,-34.732064,-56.304134,0,"https://m.montevideo.gub.uy/comoir/parada?numero=749"
750,"CNO FELIX BUXAREO y CNO EL CANELON",750,-34.731069,-56.302176,0,"https://m.montevideo.gub.uy/comoir/parada?numero=750"
751,"CNO FELIX BUXAREO y CNO EL CANELON",751,-34.731029,-56.302213,0,"https://m.montevideo.gub.uy/comoir/parada?numero=751"
752,"CNO FELIX BUXAREO y CNO EL CANELON",752,-34.728241,-56.297469,0,"https://m.montevideo.gub.uy/comoir/parada?numero=752"
753,"CNO FELIX BUXAREO y CNO EL CANELON",753,-34.728117,-56.297335,0,"https://m.montevideo.gub.uy/comoir/parada?numero=753"
754,"CNO FELIX BUXAREO y CNO EL CANELON",754,-34.726175,-56.293929,0,"https://m.montevideo.gub.uy/comoir/parada?numero=754"
